adm2,group,phase,group_name,total_eligible
1001,0,1a,High risk workers,1911
1001,1,1a,Older adults,432
1001,2,1b,Critical risk workers-1,1293
1001,3,1b,Teachers,1577
1001,4,1b,First responders,735
1001,5,1c,Ppl w. significant comorbid cond.,6221
1001,6,1c,Ppl w. moderate comorbid cond.,13847
1001,7,1c,All older adults,8050
1001,8,U,Ppl in homeless shelters,62
1001,9,U,Incarcerated,439
1001,10,U,Young adults,8325
1001,11,U,Children,13369
1001,12,U,Critical risk workers-2,2566
1003,0,1a,High risk workers,7250
1003,1,1a,Older adults,1920
1003,2,1b,Critical risk workers-1,7155
1003,3,1b,Teachers,5660
1003,4,1b,First responders,3052
1003,5,1c,Ppl w. significant comorbid cond.,20446
1003,6,1c,Ppl w. moderate comorbid cond.,45508
1003,7,1c,All older adults,40665
1003,8,U,Ppl in homeless shelters,445
1003,9,U,Incarcerated,1777
1003,10,U,Young adults,27266
1003,11,U,Children,45677
1003,12,U,Critical risk workers-2,19525
1005,0,1a,High risk workers,883
1005,1,1a,Older adults,320
1005,2,1b,Critical risk workers-1,1014
1005,3,1b,Teachers,654
1005,4,1b,First responders,370
1005,5,1c,Ppl w. significant comorbid cond.,3651
1005,6,1c,Ppl w. moderate comorbid cond.,8126
1005,7,1c,All older adults,4634
1005,9,U,Incarcerated,304
1005,10,U,Young adults,4036
1005,11,U,Children,5436
1005,12,U,Critical risk workers-2,1222
1007,0,1a,High risk workers,585
1007,1,1a,Older adults,209
1007,2,1b,Critical risk workers-1,352
1007,3,1b,Teachers,581
1007,4,1b,First responders,80
1007,5,1c,Ppl w. significant comorbid cond.,2879
1007,6,1c,Ppl w. moderate comorbid cond.,6408
1007,7,1c,All older adults,3661
1007,8,U,Ppl in homeless shelters,30
1007,9,U,Incarcerated,163
1007,10,U,Young adults,3645
1007,11,U,Children,4659
1007,12,U,Critical risk workers-2,689
1009,0,1a,High risk workers,1475
1009,1,1a,Older adults,860
1009,2,1b,Critical risk workers-1,1197
1009,3,1b,Teachers,1379
1009,4,1b,First responders,193
1009,5,1c,Ppl w. significant comorbid cond.,6391
1009,6,1c,Ppl w. moderate comorbid cond.,14226
1009,7,1c,All older adults,10233
1009,8,U,Ppl in homeless shelters,80
1009,9,U,Incarcerated,239
1009,10,U,Young adults,7950
1009,11,U,Children,13468
1009,12,U,Critical risk workers-2,2009
1011,0,1a,High risk workers,286
1011,1,1a,Older adults,166
1011,2,1b,Critical risk workers-1,249
1011,3,1b,Teachers,259
1011,4,1b,First responders,134
1011,5,1c,Ppl w. significant comorbid cond.,1553
1011,6,1c,Ppl w. moderate comorbid cond.,3457
1011,7,1c,All older adults,1616
1011,8,U,Ppl in homeless shelters,48
1011,9,U,Incarcerated,90
1011,10,U,Young adults,1800
1011,11,U,Children,2150
1011,12,U,Critical risk workers-2,233
1013,0,1a,High risk workers,732
1013,1,1a,Older adults,278
1013,2,1b,Critical risk workers-1,678
1013,3,1b,Teachers,496
1013,4,1b,First responders,284
1013,5,1c,Ppl w. significant comorbid cond.,2803
