BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Anchorage,2129,2129,100.0
Matanuska-Susitna,728,728,100.0
Fairbanks North Star,640,640,100.0
Kenai Peninsula,429,429,100.0
Juneau City and Borough,205,205,100.0
Ketchikan Gateway,97,97,100.0
Bethel,88,88,100.0
Kodiak Island,81,81,100.0
Kusilvak,64,64,100.0
Nome,64,64,100.0
Valdez-Cordova,59,59,100.0
Northwest Arctic,55,55,100.0
Yukon-Koyukuk,55,55,100.0
Sitka City and Borough,55,55,100.0
North Slope,50,50,100.0
Prince of Wales-Hyder,50,50,100.0
Southeast Fairbanks,38,38,100.0
Dillingham,27,27,100.0
Aleutians East,26,26,100.0
Petersburg,25,25,100.0
Aleutians West,21,21,100.0
Wrangell City and Borough,20,20,100.0
Hoonah-Angoon,17,17,100.0
Haines,15,15,100.0
Lake and Peninsula,9,9,100.0
Skagway,9,9,100.0
Denali,9,9,100.0
Bristol Bay,7,7,100.0
Yakutat City and Borough,5,5,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged under 65 w cancer,5077,5077,100.0
