BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Pulaski,36216,23790,65.7
Washington,14150,9295,65.7
Sebastian,9796,6435,65.7
Craighead,8969,5891,65.7
Benton,7955,5225,65.7
Garland,6837,4491,65.7
Faulkner,5279,3467,65.7
Saline,4730,3107,65.7
White,3401,2234,65.7
Jefferson,2773,1821,65.7
Pope,2415,1586,65.7
Lonoke,2083,1368,65.7
Crawford,2053,1348,65.7
Baxter,1994,1309,65.6
Independence,1982,1301,65.6
Union,1867,1226,65.7
Crittenden,1752,1150,65.6
Greene,1744,1145,65.7
Mississippi,1519,997,65.6
Miller,1485,975,65.7
Boone,1280,840,65.6
Hot Spring,1138,747,65.6
St. Francis,1101,723,65.7
Drew,1020,670,65.7
Ouachita,994,652,65.6
Carroll,929,610,65.7
Clark,898,589,65.6
Cleburne,852,559,65.6
Yell,839,551,65.7
Polk,809,531,65.6
Hempstead,802,526,65.6
Johnson,797,523,65.6
Logan,792,520,65.7
Arkansas,746,490,65.7
Jackson,733,481,65.6
Phillips,729,478,65.6
Columbia,724,475,65.6
Cross,710,466,65.6
Franklin,697,457,65.6
Conway,660,433,65.6
Poinsett,631,414,65.6
Ashley,630,413,65.6
Chicot,626,411,65.7
Izard,617,405,65.6
Randolph,611,401,65.6
Dallas,559,367,65.7
Howard,528,346,65.5
Sharp,522,342,65.5
Bradley,497,326,65.6
Clay,486,319,65.6
Stone,437,287,65.7
Desha,426,279,65.5
Fulton,403,264,65.5
Lawrence,399,262,65.7
Nevada,351,230,65.5
Sevier,348,228,65.5
Van Buren,342,224,65.5
Scott,311,204,65.6
Marion,308,202,65.6
Lincoln,297,195,65.7
Grant,294,193,65.6
Little River,276,181,65.6
Lee,233,153,65.7
Madison,225,147,65.3
Pike,183,120,65.6
Monroe,179,117,65.4
Perry,168,110,65.5
Montgomery,150,98,65.3
Searcy,141,92,65.2
Prairie,127,83,65.4
Newton,126,82,65.1
Woodruff,126,82,65.1
Lafayette,121,79,65.3
Cleveland,119,78,65.5
Calhoun,36,23,63.9



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,148083,97239,65.7
