BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Denver,69162,22992,33.2
Jefferson,49078,16315,33.2
El Paso,48705,16191,33.2
Adams,45677,15184,33.2
Arapahoe,44312,14730,33.2
Boulder,40673,13521,33.2
Weld,32089,10667,33.2
Larimer,31806,10573,33.2
Douglas,18563,6171,33.2
Pueblo,12773,4246,33.2
Mesa,11390,3786,33.2
Broomfield,8826,2934,33.2
Morgan,5455,1813,33.2
Garfield,4433,1473,33.2
La Plata,4029,1339,33.2
Montrose,3771,1253,33.2
Eagle,3706,1232,33.2
Fremont,3411,1133,33.2
Summit,2513,835,33.2
Delta,2290,761,33.2
Montezuma,1905,633,33.2
Logan,1866,620,33.2
Otero,1839,611,33.2
Routt,1677,557,33.2
Prowers,1588,527,33.2
Yuma,1578,524,33.2
Alamosa,1421,472,33.2
Chaffee,1415,470,33.2
Teller,1409,468,33.2
Pitkin,1337,444,33.2
Gunnison,1260,418,33.2
Elbert,1124,373,33.2
Grand,1029,342,33.2
Las Animas,1015,337,33.2
Rio Grande,926,307,33.2
Park,855,284,33.2
Archuleta,843,280,33.2
Moffat,737,245,33.2
San Miguel,647,215,33.2
Kit Carson,647,215,33.2
Conejos,620,206,33.2
Clear Creek,592,196,33.1
Saguache,554,184,33.2
Lake,516,171,33.1
Huerfano,497,165,33.2
Lincoln,481,159,33.1
Rio Blanco,391,129,33.0
Washington,387,128,33.1
Ouray,361,120,33.2
Gilpin,359,119,33.1
Bent,358,119,33.2
Costilla,288,95,33.0
Crowley,281,93,33.1
Custer,268,89,33.2
Sedgwick,256,85,33.2
Baca,247,82,33.2
Phillips,231,76,32.9
Cheyenne,162,53,32.7
Kiowa,138,45,32.6
Dolores,111,36,32.4
Jackson,69,22,31.9
Hinsdale,55,18,32.7
Mineral,48,15,31.2
San Juan,32,10,31.2



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,475082,157906,33.2
