BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Miami-Dade,19162,19162,100.0
Broward,14835,14835,100.0
Hillsborough,11812,11812,100.0
Palm Beach,11013,11013,100.0
Orange,9708,9708,100.0
Duval,8487,8487,100.0
Pinellas,8225,8225,100.0
Polk,5931,5931,100.0
Lee,5544,5544,100.0
Brevard,4827,4827,100.0
Pasco,4789,4789,100.0
Volusia,4536,4536,100.0
Sarasota,3495,3495,100.0
Seminole,3404,3404,100.0
Marion,3202,3202,100.0
Lake,2994,2994,100.0
Manatee,2989,2989,100.0
Osceola,2735,2735,100.0
Escambia,2583,2583,100.0
Collier,2485,2485,100.0
St. Lucie,2442,2442,100.0
Alachua,2133,2133,100.0
Leon,2057,2057,100.0
St. Johns,1971,1971,100.0
Hernando,1854,1854,100.0
Clay,1757,1757,100.0
Bay,1571,1571,100.0
Charlotte,1536,1536,100.0
Okaloosa,1469,1469,100.0
Citrus,1397,1397,100.0
Martin,1299,1299,100.0
Indian River,1290,1290,100.0
Santa Rosa,1290,1290,100.0
Sumter,945,945,100.0
Flagler,907,907,100.0
Highlands,860,860,100.0
Nassau,813,813,100.0
Putnam,655,655,100.0
Columbia,605,605,100.0
Monroe,571,571,100.0
Walton,465,465,100.0
Union,443,443,100.0
Suwannee,372,372,100.0
Gadsden,365,365,100.0
Levy,357,357,100.0
Okeechobee,350,350,100.0
Jackson,270,270,100.0
Hendry,247,247,100.0
Wakulla,246,246,100.0
DeSoto,245,245,100.0
Bradford,239,239,100.0
Baker,209,209,100.0
Hardee,195,195,100.0
Taylor,168,168,100.0
Washington,167,167,100.0
Gilchrist,160,160,100.0
Dixie,141,141,100.0
Gulf,121,121,100.0
Madison,120,120,100.0
Hamilton,109,109,100.0
Calhoun,107,107,100.0
Jefferson,102,102,100.0
Holmes,101,101,100.0
Franklin,91,91,100.0
Glades,77,77,100.0
Lafayette,57,57,100.0
Liberty,45,45,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged under 65 w cancer,165747,165747,100.0
