BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Ada,3217,3217,100.0
Kootenai,1110,1110,100.0
Canyon,1107,1107,100.0
Twin Falls,913,913,100.0
Bonneville,750,750,100.0
Bannock,662,662,100.0
Nez Perce,647,647,100.0
Bonner,412,412,100.0
Latah,273,273,100.0
Cassia,260,260,100.0
Bingham,259,259,100.0
Gem,188,188,100.0
Payette,176,176,100.0
Elmore,136,136,100.0
Gooding,131,131,100.0
Clearwater,126,126,100.0
Madison,118,118,100.0
Teton,103,103,100.0
Boundary,101,101,100.0
Washington,99,99,100.0
Shoshone,88,88,100.0
Jerome,71,71,100.0
Blaine,67,67,100.0
Bear Lake,66,66,100.0
Fremont,63,63,100.0
Jefferson,60,60,100.0
Lemhi,59,59,100.0
Owyhee,49,49,100.0
Caribou,48,48,100.0
Franklin,46,46,100.0
Lincoln,42,42,100.0
Oneida,40,40,100.0
Valley,39,39,100.0
Minidoka,39,39,100.0
Power,36,36,100.0
Butte,35,35,100.0
Lewis,25,25,100.0
Custer,18,18,100.0
Idaho,17,17,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Long-term care facillity residents,11696,11696,100.0
