BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Johnson,133495,25615,19.2
Sedgwick,90274,17322,19.2
Shawnee,39395,7559,19.2
Wyandotte,31558,6055,19.2
Douglas,17927,3439,19.2
Riley,12183,2337,19.2
Reno,10284,1973,19.2
Saline,9327,1789,19.2
Leavenworth,9093,1744,19.2
Butler,7164,1374,19.2
Finney,6805,1305,19.2
Crawford,6113,1173,19.2
Ellis,5941,1140,19.2
Geary,5720,1097,19.2
Lyon,4791,919,19.2
Ford,4353,835,19.2
Montgomery,4192,804,19.2
Cowley,4136,793,19.2
Barton,4085,783,19.2
McPherson,3999,767,19.2
Miami,3281,629,19.2
Seward,3120,598,19.2
Harvey,2960,567,19.2
Franklin,2700,518,19.2
Atchison,2342,449,19.2
Pottawatomie,2271,435,19.2
Sumner,2102,403,19.2
Pratt,1919,368,19.2
Labette,1901,364,19.1
Neosho,1854,355,19.1
Bourbon,1795,344,19.2
Dickinson,1765,338,19.2
Allen,1550,297,19.2
Jackson,1522,292,19.2
Cherokee,1451,278,19.2
Nemaha,1427,273,19.1
Thomas,1280,245,19.1
Jefferson,1241,238,19.2
Rice,1204,231,19.2
Grant,1175,225,19.1
Russell,1176,225,19.1
Marshall,1125,215,19.1
Sherman,1063,203,19.1
Osage,1056,202,19.1
Cloud,1046,200,19.1
Pawnee,1012,194,19.2
Brown,1009,193,19.1
Coffey,996,191,19.2
Marion,995,190,19.1
Kingman,880,168,19.1
Wilson,856,164,19.2
Mitchell,841,161,19.1
Linn,839,160,19.1
Clay,779,149,19.1
Anderson,762,146,19.2
Harper,750,143,19.1
Doniphan,728,139,19.1
Gray,708,135,19.1
Phillips,688,132,19.2
Rooks,671,128,19.1
Washington,663,127,19.2
Logan,637,122,19.2
Stevens,622,119,19.1
Republic,616,118,19.2
Scott,589,113,19.2
Greenwood,585,112,19.1
Barber,578,110,19.0
Wabaunsee,574,110,19.2
Ellsworth,551,105,19.1
Trego,499,95,19.0
Norton,478,91,19.0
Ness,458,87,19.0
Ottawa,437,83,19.0
Morris,424,81,19.1
Haskell,420,80,19.0
Graham,406,77,19.0
Kearny,403,77,19.1
Stafford,390,74,19.0
Osborne,383,73,19.1
Meade,385,73,19.0
Smith,369,70,19.0
Rush,331,63,19.0
Woodson,309,59,19.1
Hamilton,288,55,19.1
Chautauqua,285,54,18.9
Jewell,278,53,19.1
Gove,279,53,19.0
Morton,272,52,19.1
Chase,263,50,19.0
Decatur,263,50,19.0
Elk,257,49,19.1
Lincoln,251,48,19.1
Kiowa,253,48,19.0
Rawlins,255,48,18.8
Cheyenne,226,43,19.0
Edwards,229,43,18.8
Sheridan,193,37,19.2
Stanton,189,36,19.0
Hodgeman,174,33,19.0
Clark,161,30,18.6
Comanche,151,28,18.5
Wichita,151,28,18.5
Wallace,150,28,18.7
Lane,139,26,18.7
Greeley,71,13,18.3



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,483560,92732,19.2
