BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Cumberland,30672,14457,47.1
Penobscot,12804,6035,47.1
York,8260,3893,47.1
Kennebec,7042,3319,47.1
Androscoggin,6118,2883,47.1
Aroostook,5201,2451,47.1
Hancock,2373,1118,47.1
Oxford,2108,993,47.1
Somerset,2031,957,47.1
Knox,1838,866,47.1
Washington,1493,703,47.1
Lincoln,1426,672,47.1
Waldo,1276,601,47.1
Franklin,1024,482,47.1
Sagadahoc,930,438,47.1
Piscataquis,734,345,47.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,85330,40213,47.1
