BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Cumberland,27027,6527,24.1
York,23818,5752,24.1
Penobscot,21560,5206,24.1
Kennebec,16099,3887,24.1
Androscoggin,13817,3336,24.1
Aroostook,10736,2592,24.1
Oxford,8610,2079,24.1
Somerset,7911,1910,24.1
Hancock,6466,1561,24.1
Waldo,5899,1424,24.1
Washington,4694,1133,24.1
Knox,4685,1131,24.1
Lincoln,4367,1054,24.1
Sagadahoc,4124,995,24.1
Franklin,4024,971,24.1
Piscataquis,2709,654,24.1



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,166546,40212,24.1
