BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Montgomery,10503,10503,100.0
Prince George's,9764,9764,100.0
Baltimore,8507,8507,100.0
Baltimore City,7273,7273,100.0
Anne Arundel,5724,5724,100.0
Howard,3239,3239,100.0
Frederick,2489,2489,100.0
Harford,2399,2399,100.0
Charles,1653,1653,100.0
Carroll,1513,1513,100.0
Washington,1336,1336,100.0
Wicomico,1162,1162,100.0
St. Mary's,1151,1151,100.0
Cecil,965,965,100.0
Calvert,853,853,100.0
Allegany,646,646,100.0
Queen Anne's,424,424,100.0
Worcester,389,389,100.0
Caroline,318,318,100.0
Dorchester,284,284,100.0
Talbot,278,278,100.0
Somerset,248,248,100.0
Garrett,244,244,100.0
Kent,176,176,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 15-49 and prgnant,61538,61538,100.0
