BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Middlesex,135467,43381,32.0
Essex,74910,23989,32.0
Worcester,73059,23396,32.0
Norfolk,64048,20510,32.0
Plymouth,54024,17300,32.0
Suffolk,53514,17137,32.0
Bristol,53141,17017,32.0
Hampden,43720,14000,32.0
Barnstable,35915,11501,32.0
Hampshire,16307,5222,32.0
Berkshire,16142,5169,32.0
Franklin,9384,3005,32.0
Dukes,2582,826,32.0
Nantucket,984,315,32.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 65-74,633197,202768,32.0
