BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Suffolk,278444,47636,17.1
Middlesex,255806,43763,17.1
Norfolk,125257,21429,17.1
Worcester,113210,19368,17.1
Essex,105693,18082,17.1
Bristol,80372,13750,17.1
Plymouth,73625,12595,17.1
Hampden,63837,10921,17.1
Barnstable,36880,6309,17.1
Berkshire,20378,3486,17.1
Hampshire,18850,3224,17.1
Franklin,7279,1245,17.1
Dukes,3047,521,17.1
Nantucket,2569,439,17.1



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,1185247,202768,17.1
