BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Wayne,17983,17983,100.0
Oakland,12065,12065,100.0
Macomb,8424,8424,100.0
Kent,6987,6987,100.0
Washtenaw,4457,4457,100.0
Genesee,3934,3934,100.0
Ingham,3622,3622,100.0
Ottawa,3077,3077,100.0
Kalamazoo,2996,2996,100.0
Saginaw,1815,1815,100.0
Livingston,1659,1659,100.0
Muskegon,1631,1631,100.0
Jackson,1405,1405,100.0
St. Clair,1396,1396,100.0
Berrien,1389,1389,100.0
Monroe,1352,1352,100.0
Calhoun,1281,1281,100.0
Allegan,1059,1059,100.0
Eaton,1035,1035,100.0
Isabella,982,982,100.0
Bay,925,925,100.0
Lenawee,871,871,100.0
Grand Traverse,832,832,100.0
Midland,769,769,100.0
Lapeer,738,738,100.0
Clinton,735,735,100.0
Marquette,691,691,100.0
Van Buren,663,663,100.0
Shiawassee,622,622,100.0
Ionia,561,561,100.0
St. Joseph,550,550,100.0
Montcalm,545,545,100.0
Barry,529,529,100.0
Mecosta,451,451,100.0
Tuscola,446,446,100.0
Cass,428,428,100.0
Newaygo,411,411,100.0
Hillsdale,409,409,100.0
Branch,364,364,100.0
Gratiot,360,360,100.0
Houghton,342,342,100.0
Sanilac,341,341,100.0
Chippewa,334,334,100.0
Emmet,288,288,100.0
Delta,287,287,100.0
Wexford,286,286,100.0
Clare,242,242,100.0
Mason,234,234,100.0
Huron,231,231,100.0
Alpena,228,228,100.0
Oceana,215,215,100.0
Otsego,205,205,100.0
Dickinson,203,203,100.0
Charlevoix,201,201,100.0
Osceola,195,195,100.0
Cheboygan,187,187,100.0
Gladwin,179,179,100.0
Menominee,178,178,100.0
Iosco,172,172,100.0
Manistee,168,168,100.0
Antrim,166,166,100.0
Ogemaw,154,154,100.0
Leelanau,147,147,100.0
Roscommon,146,146,100.0
Kalkaska,145,145,100.0
Benzie,129,129,100.0
Missaukee,121,121,100.0
Arenac,111,111,100.0
Gogebic,106,106,100.0
Crawford,100,100,100.0
Presque Isle,83,83,100.0
Lake,81,81,100.0
Mackinac,73,73,100.0
Iron,72,72,100.0
Oscoda,56,56,100.0
Baraga,56,56,100.0
Alger,56,56,100.0
Alcona,56,56,100.0
Montmorency,56,56,100.0
Schoolcraft,55,55,100.0
Luce,38,38,100.0
Ontonagon,31,31,100.0
Keweenaw,12,12,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 15-49 and prgnant,97215,97215,100.0
