BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Hennepin,155837,37645,24.2
Ramsey,62874,15188,24.2
Dakota,44972,10863,24.2
Anoka,42093,10168,24.2
Washington,26476,6395,24.2
Stearns,23925,5779,24.2
Olmsted,19340,4671,24.2
St. Louis,18290,4418,24.2
Scott,16931,4089,24.2
Carver,15972,3858,24.2
Wright,15292,3694,24.2
Rice,9464,2286,24.2
Sherburne,9435,2279,24.2
Blue Earth,9428,2277,24.2
Winona,9030,2181,24.2
Steele,8097,1955,24.1
Goodhue,7745,1870,24.1
Otter Tail,7398,1787,24.2
Crow Wing,7107,1716,24.1
McLeod,7098,1714,24.1
Kandiyohi,6951,1679,24.2
Benton,6659,1608,24.1
Mower,6321,1526,24.1
Nicollet,6219,1502,24.2
Douglas,6026,1455,24.1
Chisago,5233,1264,24.2
Roseau,5233,1264,24.2
Nobles,5201,1256,24.1
Clay,5145,1242,24.1
Freeborn,4796,1158,24.1
Le Sueur,4669,1127,24.1
Brown,4571,1104,24.2
Beltrami,4522,1092,24.1
Becker,4358,1052,24.1
Polk,4290,1036,24.1
Carlton,3899,941,24.1
Isanti,3780,913,24.2
Lyon,3663,884,24.1
Itasca,3427,827,24.1
Morrison,3377,815,24.1
Meeker,3210,775,24.1
Wabasha,2943,710,24.1
Martin,2899,700,24.1
Mille Lacs,2864,691,24.1
Dodge,2851,688,24.1
Todd,2703,652,24.1
Pine,2438,588,24.1
Cass,2343,565,24.1
Watonwan,2310,558,24.2
Fillmore,2293,553,24.1
Waseca,2280,550,24.1
Cottonwood,2269,548,24.2
Jackson,2171,524,24.1
Hubbard,2107,508,24.1
Redwood,2093,505,24.1
Sibley,2066,499,24.2
Houston,2011,485,24.1
Faribault,1984,479,24.1
Pennington,1807,436,24.1
Chippewa,1774,428,24.1
Renville,1767,426,24.1
Pope,1562,377,24.1
Aitkin,1466,354,24.1
Stevens,1416,342,24.2
Kanabec,1377,332,24.1
Lake,1352,326,24.1
Wadena,1340,323,24.1
Swift,1222,295,24.1
Koochiching,1158,279,24.1
Clearwater,1057,255,24.1
Pipestone,973,235,24.2
Marshall,886,214,24.2
Yellow Medicine,844,203,24.1
Rock,797,192,24.1
Grant,661,159,24.1
Murray,636,153,24.1
Kittson,556,134,24.1
Lac qui Parle,548,132,24.1
Norman,531,128,24.1
Cook,517,124,24.0
Lincoln,517,124,24.0
Wilkin,417,100,24.0
Red Lake,383,92,24.0
Mahnomen,359,86,24.0
Big Stone,351,84,23.9
Traverse,339,81,23.9
Lake of the Woods,301,72,23.9



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,685893,165642,24.1
