BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Hinds,42865,10470,24.4
Harrison,37359,9125,24.4
DeSoto,32044,7827,24.4
Rankin,29137,7116,24.4
Madison,23387,5712,24.4
Jackson,17588,4296,24.4
Lee,16669,4071,24.4
Forrest,14118,3448,24.4
Lauderdale,11947,2918,24.4
Lafayette,10995,2685,24.4
Lamar,9949,2430,24.4
Lowndes,9829,2400,24.4
Warren,8683,2120,24.4
Jones,8442,2062,24.4
Oktibbeha,8171,1995,24.4
Hancock,6588,1609,24.4
Washington,5474,1337,24.4
Neshoba,5133,1253,24.4
Pike,5019,1225,24.4
Alcorn,4863,1187,24.4
Pearl River,4691,1145,24.4
Lincoln,4305,1051,24.4
Adams,4175,1019,24.4
Leflore,4035,985,24.4
Bolivar,3726,910,24.4
Panola,3718,908,24.4
Marshall,3702,904,24.4
Grenada,3278,800,24.4
Union,3252,794,24.4
Monroe,3121,762,24.4
Scott,2609,637,24.4
Simpson,2586,631,24.4
Yazoo,2546,621,24.4
Marion,2511,613,24.4
Coahoma,2381,581,24.4
Pontotoc,2334,570,24.4
Sunflower,2083,508,24.4
Copiah,2057,502,24.4
Clay,1992,486,24.4
Prentiss,1869,456,24.4
Tippah,1841,449,24.4
Wayne,1773,433,24.4
Attala,1691,413,24.4
Itawamba,1650,403,24.4
George,1605,392,24.4
Tate,1559,380,24.4
Covington,1421,347,24.4
Tishomingo,1358,331,24.4
Stone,1340,327,24.4
Newton,1299,317,24.4
Chickasaw,1285,313,24.4
Leake,1247,304,24.4
Winston,1095,267,24.4
Clarke,1037,253,24.4
Jasper,989,241,24.4
Smith,968,236,24.4
Holmes,926,226,24.4
Montgomery,900,219,24.3
Amite,861,210,24.4
Walthall,855,208,24.3
Claiborne,839,204,24.3
Calhoun,789,192,24.3
Lawrence,771,188,24.4
Yalobusha,727,177,24.3
Greene,701,171,24.4
Tunica,673,164,24.4
Noxubee,664,162,24.4
Carroll,647,158,24.4
Jefferson Davis,630,153,24.3
Choctaw,615,150,24.4
Kemper,614,149,24.3
Tallahatchie,608,148,24.3
Humphreys,610,148,24.3
Perry,594,145,24.4
Webster,585,142,24.3
Jefferson,548,133,24.3
Wilkinson,503,122,24.3
Franklin,492,120,24.4
Quitman,488,119,24.4
Sharkey,333,81,24.3
Benton,242,59,24.4
Issaquena,77,18,23.4



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,407681,99541,24.4
