BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
St. Louis,8049,8049,100.0
Jackson,5563,5563,100.0
St. Charles,3049,3049,100.0
St. Louis City,2627,2627,100.0
Greene,2092,2092,100.0
Clay,1842,1842,100.0
Jefferson,1780,1780,100.0
Boone,1258,1258,100.0
Jasper,970,970,100.0
Franklin,886,886,100.0
Cass,802,802,100.0
Platte,751,751,100.0
Buchanan,731,731,100.0
Cape Girardeau,619,619,100.0
Cole,602,602,100.0
Christian,601,601,100.0
St. Francois,590,590,100.0
Pulaski,439,439,100.0
Lincoln,435,435,100.0
Taney,406,406,100.0
Johnson,404,404,100.0
Newton,379,379,100.0
Butler,351,351,100.0
Scott,343,343,100.0
Phelps,340,340,100.0
Callaway,335,335,100.0
Pettis,322,322,100.0
Camden,316,316,100.0
Webster,291,291,100.0
Laclede,283,283,100.0
Lawrence,281,281,100.0
Marion,280,280,100.0
Lafayette,275,275,100.0
Warren,268,268,100.0
Howell,265,265,100.0
Stoddard,255,255,100.0
Dunklin,247,247,100.0
Barry,226,226,100.0
Crawford,222,222,100.0
Audrain,216,216,100.0
Adair,208,208,100.0
Randolph,207,207,100.0
Miller,204,204,100.0
Henry,198,198,100.0
Stone,197,197,100.0
Washington,193,193,100.0
Polk,190,190,100.0
Morgan,183,183,100.0
Ray,181,181,100.0
Saline,179,179,100.0
Clinton,169,169,100.0
Texas,169,169,100.0
Nodaway,161,161,100.0
Wright,159,159,100.0
Vernon,155,155,100.0
McDonald,155,155,100.0
Pike,153,153,100.0
Cooper,151,151,100.0
New Madrid,144,144,100.0
Ste. Genevieve,139,139,100.0
Benton,139,139,100.0
Perry,137,137,100.0
Andrew,135,135,100.0
Dallas,133,133,100.0
Pemiscot,128,128,100.0
Macon,126,126,100.0
Madison,124,124,100.0
Dent,123,123,100.0
Mississippi,123,123,100.0
Gasconade,120,120,100.0
Moniteau,118,118,100.0
Livingston,114,114,100.0
Osage,112,112,100.0
Bates,111,111,100.0
Montgomery,109,109,100.0
Bollinger,109,109,100.0
Wayne,107,107,100.0
Cedar,100,100,100.0
Ripley,97,97,100.0
Barton,94,94,100.0
Iron,93,93,100.0
Ralls,88,88,100.0
Linn,80,80,100.0
Lewis,79,79,100.0
DeKalb,79,79,100.0
Grundy,75,75,100.0
Harrison,71,71,100.0
Monroe,69,69,100.0
St. Clair,69,69,100.0
Douglas,67,67,100.0
Oregon,67,67,100.0
Howard,67,67,100.0
Daviess,66,66,100.0
Caldwell,65,65,100.0
Carroll,63,63,100.0
Ozark,63,63,100.0
Maries,62,62,100.0
Hickory,60,60,100.0
Dade,59,59,100.0
Chariton,56,56,100.0
Carter,53,53,100.0
Clark,50,50,100.0
Shannon,49,49,100.0
Gentry,47,47,100.0
Shelby,47,47,100.0
Reynolds,42,42,100.0
Sullivan,39,39,100.0
Atchison,37,37,100.0
Scotland,33,33,100.0
Holt,33,33,100.0
Mercer,32,32,100.0
Putnam,31,31,100.0
Schuyler,27,27,100.0
Knox,23,23,100.0
Worth,17,17,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged under 65 w cancer,47803,47803,100.0
