BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Yellowstone,11041,4527,41.0
Flathead,7025,2880,41.0
Missoula,6631,2719,41.0
Cascade,6579,2697,41.0
Gallatin,4816,1974,41.0
Lewis and Clark,4544,1863,41.0
Ravalli,4119,1689,41.0
Silver Bow,2729,1119,41.0
Lake,2563,1050,41.0
Lincoln,2038,835,41.0
Park,1357,556,41.0
Sanders,1324,542,40.9
Fergus,1147,470,41.0
Custer,1028,421,41.0
Carbon,999,409,40.9
Hill,987,404,40.9
Beaverhead,902,369,40.9
Deer Lodge,834,341,40.9
Madison,829,339,40.9
Valley,792,324,40.9
Stillwater,764,313,41.0
Dawson,763,312,40.9
Jefferson,752,308,41.0
Glacier,654,268,41.0
Teton,652,267,41.0
Richland,617,253,41.0
Big Horn,601,246,40.9
Pondera,568,232,40.8
Powell,565,231,40.9
Broadwater,532,218,41.0
Sweet Grass,528,216,40.9
Roosevelt,500,205,41.0
Chouteau,477,195,40.9
Musselshell,474,194,40.9
Mineral,473,193,40.8
Rosebud,459,188,41.0
Phillips,433,177,40.9
Blaine,414,169,40.8
Granite,387,158,40.8
Toole,372,152,40.9
Sheridan,359,147,40.9
Liberty,306,125,40.8
Fallon,255,104,40.8
Daniels,250,102,40.8
McCone,230,94,40.9
Powder River,197,80,40.6
Meagher,191,78,40.8
Wheatland,181,74,40.9
Judith Basin,158,64,40.5
Carter,155,63,40.6
Prairie,115,47,40.9
Wibaux,109,44,40.4
Garfield,101,41,40.6
Golden Valley,75,30,40.0
Petroleum,70,28,40.0
Treasure,61,25,41.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 75+,76082,31169,41.0
