BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Douglas,57682,15753,27.3
Lancaster,31615,8634,27.3
Sarpy,13098,3577,27.3
Hall,11474,3133,27.3
Platte,8675,2369,27.3
Buffalo,7223,1972,27.3
Madison,6711,1832,27.3
Dodge,6683,1825,27.3
Dakota,6631,1810,27.3
Dawson,5282,1442,27.3
Adams,4872,1330,27.3
Saline,4155,1134,27.3
Scotts Bluff,3036,829,27.3
Gage,2881,786,27.3
Lincoln,2522,688,27.3
Washington,2472,675,27.3
Cass,2436,665,27.3
Otoe,2414,659,27.3
Custer,2090,570,27.3
Seward,1989,543,27.3
York,1941,530,27.3
Wayne,1711,467,27.3
Saunders,1587,433,27.3
Holt,1394,380,27.3
Hamilton,1261,344,27.3
Red Willow,1193,325,27.2
Box Butte,1143,312,27.3
Cheyenne,1138,310,27.2
Knox,1128,308,27.3
Thurston,1038,283,27.3
Jefferson,1030,281,27.3
Cuming,1020,278,27.3
Thayer,980,267,27.2
Kearney,938,256,27.3
Butler,934,255,27.3
Colfax,928,253,27.3
Cedar,889,242,27.2
Boone,852,232,27.2
Richardson,843,230,27.3
Stanton,837,228,27.2
Clay,787,214,27.2
Phelps,780,213,27.3
Keith,754,205,27.2
Cherry,710,193,27.2
Merrick,672,183,27.2
Nemaha,663,181,27.3
Chase,637,173,27.2
Dawes,628,171,27.2
Antelope,616,168,27.3
Burt,610,166,27.2
Pierce,560,152,27.1
Fillmore,555,151,27.2
Valley,471,128,27.2
Sheridan,455,124,27.3
Howard,452,123,27.2
Kimball,444,121,27.3
Furnas,440,120,27.3
Frontier,422,115,27.3
Dixon,407,111,27.3
Brown,388,105,27.1
Johnson,357,97,27.2
Morrill,341,93,27.3
Polk,331,90,27.2
Nuckolls,305,83,27.2
Pawnee,300,81,27.0
Perkins,290,79,27.2
Franklin,273,74,27.1
Webster,269,73,27.1
Hitchcock,266,72,27.1
Nance,242,66,27.3
Greeley,204,55,27.0
Sherman,194,52,26.8
Harlan,190,51,26.8
Garden,186,50,26.9
Wheeler,184,50,27.2
Dundy,158,43,27.2
Grant,151,41,27.2
Deuel,147,40,27.2
Gosper,143,39,27.3
Garfield,137,37,27.0
Boyd,115,31,27.0
Hayes,117,31,26.5
Rock,100,27,27.0
Sioux,93,25,26.9
Logan,90,24,26.7
Keya Paha,74,20,27.0
Blaine,56,15,26.8
Hooker,51,13,25.5
Loup,38,10,26.3
Thomas,37,10,27.0
Banner,28,7,25.0
McPherson,23,6,26.1
Arthur,24,6,25.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,223691,61048,27.3
