BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Douglas,128845,22295,17.3
Lancaster,73789,12768,17.3
Sarpy,39275,6796,17.3
Hall,11880,2055,17.3
Buffalo,9361,1619,17.3
Madison,6643,1149,17.3
Scotts Bluff,6259,1083,17.3
Dodge,5546,959,17.3
Lincoln,5316,919,17.3
Platte,5260,910,17.3
Adams,4870,842,17.3
Dakota,3713,642,17.3
York,2689,465,17.3
Dawson,2544,440,17.3
Gage,2439,422,17.3
Cass,2364,409,17.3
Washington,2115,365,17.3
Red Willow,1920,332,17.3
Saunders,1888,326,17.3
Otoe,1865,322,17.3
Seward,1602,277,17.3
Box Butte,1443,249,17.3
Holt,1325,229,17.3
Wayne,1308,226,17.3
Keith,1303,225,17.3
Cheyenne,1301,225,17.3
Dawes,1247,215,17.2
Phelps,1058,183,17.3
Custer,989,171,17.3
Saline,976,168,17.2
Colfax,948,164,17.3
Cuming,929,160,17.2
Richardson,906,156,17.2
Hamilton,875,151,17.3
Cedar,856,148,17.3
Knox,853,147,17.2
Cherry,702,121,17.2
Jefferson,683,118,17.3
Butler,687,118,17.2
Merrick,625,108,17.3
Pierce,620,107,17.3
Clay,594,102,17.2
Nemaha,586,101,17.2
Thayer,572,98,17.1
Boone,553,95,17.2
Burt,529,91,17.2
Thurston,519,89,17.1
Kearney,482,83,17.2
Chase,453,78,17.2
Kimball,455,78,17.1
Antelope,429,74,17.2
Fillmore,427,73,17.1
Valley,424,73,17.2
Howard,413,71,17.2
Nuckolls,404,69,17.1
Dixon,382,66,17.3
Morrill,345,59,17.1
Polk,340,58,17.1
Sheridan,333,57,17.1
Furnas,329,56,17.0
Johnson,305,52,17.0
Stanton,304,52,17.1
Brown,267,46,17.2
Webster,261,45,17.2
Harlan,261,45,17.2
Sherman,247,42,17.0
Perkins,233,40,17.2
Hitchcock,231,39,16.9
Nance,225,38,16.9
Garfield,213,36,16.9
Pawnee,185,32,17.3
Frontier,181,31,17.1
Deuel,176,30,17.0
Boyd,165,28,17.0
Franklin,167,28,16.8
Gosper,162,28,17.3
Greeley,158,27,17.1
Dundy,149,25,16.8
Garden,146,25,17.1
Rock,110,19,17.3
Thomas,74,12,16.2
Sioux,60,10,16.7
Hayes,60,10,16.7
Loup,42,7,16.7
Keya Paha,42,7,16.7
Blaine,36,6,16.7
Banner,35,6,17.1
Hooker,39,6,15.4
Grant,40,6,15.0
Wheeler,38,6,15.8
Logan,25,4,16.0
Arthur,19,3,15.8
McPherson,10,1,10.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,353052,61047,17.3
