BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Bernalillo,63737,19671,30.9
Santa Fe,22262,6870,30.9
DoÃƒÂ±a Ana,18991,5861,30.9
Sandoval,15443,4766,30.9
San Juan,10524,3248,30.9
Valencia,7911,2441,30.9
Otero,6398,1974,30.9
Chaves,5707,1761,30.9
McKinley,5115,1578,30.9
Taos,5094,1572,30.9
Eddy,4623,1426,30.8
Lea,4529,1397,30.8
Grant,4295,1325,30.8
Rio Arriba,4282,1321,30.9
San Miguel,3425,1057,30.9
Curry,3332,1028,30.9
Lincoln,3286,1014,30.9
Luna,2700,833,30.9
Cibola,2517,776,30.8
Sierra,2124,655,30.8
Torrance,1993,615,30.9
Socorro,1978,610,30.8
Colfax,1951,602,30.9
Los Alamos,1903,587,30.8
Roosevelt,1420,438,30.8
Quay,1183,365,30.9
Mora,851,262,30.8
Catron,748,230,30.7
Hidalgo,545,168,30.8
Guadalupe,494,152,30.8
Union,417,128,30.7
De Baca,248,76,30.6
Harding,98,30,30.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 65-74,210124,64837,30.9
