BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Kings,223915,92024,41.1
New York,211010,86720,41.1
Queens,156118,64161,41.1
Nassau,128850,52954,41.1
Suffolk,98887,40640,41.1
Bronx,90447,37171,41.1
Westchester,75745,31129,41.1
Erie,71811,29512,41.1
Monroe,63499,26096,41.1
Onondaga,28770,11823,41.1
Albany,25757,10585,41.1
Rockland,24090,9900,41.1
Orange,21791,8955,41.1
Richmond,21632,8890,41.1
Dutchess,18749,7705,41.1
Oneida,17260,7093,41.1
Saratoga,10894,4477,41.1
Broome,10100,4150,41.1
Niagara,8769,3603,41.1
Ulster,8733,3589,41.1
Schenectady,7922,3255,41.1
Rensselaer,7277,2990,41.1
Ontario,6888,2830,41.1
St. Lawrence,6474,2660,41.1
Chautauqua,6318,2596,41.1
Jefferson,6179,2539,41.1
Sullivan,5124,2105,41.1
Tompkins,4949,2033,41.1
Steuben,4458,1832,41.1
Putnam,4219,1733,41.1
Chemung,4189,1721,41.1
Oswego,4156,1708,41.1
Cattaraugus,3766,1547,41.1
Clinton,3759,1544,41.1
Cayuga,3697,1519,41.1
Columbia,3641,1496,41.1
Warren,3494,1435,41.1
Wayne,2967,1219,41.1
Montgomery,2949,1211,41.1
Herkimer,2913,1197,41.1
Genesee,2866,1177,41.1
Madison,2706,1112,41.1
Fulton,2614,1074,41.1
Franklin,2553,1049,41.1
Livingston,2544,1045,41.1
Chenango,2436,1001,41.1
Otsego,2390,982,41.1
Allegany,1932,794,41.1
Washington,1919,788,41.1
Essex,1886,775,41.1
Cortland,1771,727,41.1
Delaware,1562,641,41.0
Orleans,1420,583,41.1
Greene,1331,547,41.1
Wyoming,1087,446,41.0
Tioga,967,397,41.1
Schoharie,954,392,41.1
Seneca,794,326,41.1
Yates,786,323,41.1
Lewis,644,264,41.0
Schuyler,543,223,41.1
Hamilton,150,61,40.7



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,1448021,595074,41.1
