BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Mecklenburg,318443,59795,18.8
Wake,235554,44230,18.8
Guilford,106296,19959,18.8
Forsyth,69858,13117,18.8
Durham,62406,11718,18.8
Cumberland,54906,10309,18.8
Buncombe,53148,9979,18.8
New Hanover,52403,9839,18.8
Cabarrus,33786,6344,18.8
Pitt,28590,5368,18.8
Catawba,27462,5156,18.8
Gaston,27457,5155,18.8
Onslow,27146,5097,18.8
Union,26041,4889,18.8
Iredell,26015,4884,18.8
Alamance,25259,4742,18.8
Johnston,22610,4245,18.8
Orange,20085,3771,18.8
Rowan,19363,3635,18.8
Craven,18410,3456,18.8
Brunswick,17085,3208,18.8
Wayne,16397,3078,18.8
Davidson,15814,2969,18.8
Randolph,14390,2702,18.8
Nash,13726,2577,18.8
Robeson,13561,2546,18.8
Henderson,13018,2444,18.8
Moore,12442,2336,18.8
Wilson,12392,2326,18.8
Carteret,12043,2261,18.8
Harnett,11346,2130,18.8
Cleveland,11340,2129,18.8
Watauga,10377,1948,18.8
Surry,10282,1930,18.8
Burke,9685,1818,18.8
Rockingham,9095,1707,18.8
Dare,8800,1652,18.8
Lincoln,7709,1447,18.8
Stanly,7706,1446,18.8
Lee,7550,1417,18.8
Lenoir,7526,1413,18.8
Caldwell,7425,1394,18.8
Haywood,7272,1365,18.8
Rutherford,7026,1319,18.8
Pasquotank,6871,1290,18.8
Halifax,6838,1284,18.8
Wilkes,6836,1283,18.8
Chatham,6802,1277,18.8
Granville,6478,1216,18.8
Jackson,6231,1170,18.8
Pender,6220,1167,18.8
Columbus,5682,1066,18.8
Sampson,5598,1051,18.8
Beaufort,5578,1047,18.8
Edgecombe,5401,1014,18.8
Macon,4863,913,18.8
Vance,4810,903,18.8
Duplin,4757,893,18.8
McDowell,4640,871,18.8
Richmond,4610,865,18.8
Franklin,4524,849,18.8
Davie,3858,724,18.8
Scotland,3808,715,18.8
Swain,3756,705,18.8
Transylvania,3700,694,18.8
Cherokee,3625,680,18.8
Yadkin,3608,677,18.8
Person,3573,670,18.8
Bladen,3320,623,18.8
Hoke,3180,597,18.8
Stokes,2872,539,18.8
Ashe,2825,530,18.8
Alexander,2826,530,18.8
Hertford,2630,493,18.7
Currituck,2599,488,18.8
Martin,2541,477,18.8
Montgomery,2512,471,18.8
Anson,2462,462,18.8
Avery,2243,421,18.8
Bertie,1785,335,18.8
Polk,1766,331,18.7
Madison,1523,285,18.7
Mitchell,1504,282,18.8
Northampton,1403,263,18.7
Greene,1299,243,18.7
Perquimans,1230,230,18.7
Yancey,1217,228,18.7
Caswell,1210,227,18.8
Washington,1161,218,18.8
Warren,1102,206,18.7
Chowan,1023,192,18.8
Clay,1016,190,18.7
Graham,861,161,18.7
Pamlico,799,150,18.8
Alleghany,768,144,18.8
Jones,618,116,18.8
Hyde,614,115,18.7
Camden,563,105,18.7
Gates,529,99,18.7
Tyrrell,409,76,18.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,1694322,318101,18.8
