BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Cass,20092,10777,53.6
Burleigh,6276,3366,53.6
Grand Forks,4427,2374,53.6
Ward,2473,1326,53.6
Stark,1849,991,53.6
Morton,1745,936,53.6
Stutsman,1308,701,53.6
Williams,1159,621,53.6
Rolette,744,399,53.6
Walsh,617,330,53.5
Ramsey,605,324,53.6
Richland,528,283,53.6
Mountrail,383,205,53.5
Barnes,377,202,53.6
McKenzie,356,190,53.4
McLean,301,161,53.5
Dickey,290,155,53.4
Ransom,277,148,53.4
Pembina,266,142,53.4
Mercer,265,142,53.6
Traill,252,135,53.6
Bottineau,224,120,53.6
Nelson,224,120,53.6
Sioux,117,62,53.0
Wells,116,62,53.4
Pierce,112,60,53.6
Benson,110,59,53.6
Bowman,94,50,53.2
Cavalier,90,48,53.3
Emmons,88,47,53.4
McHenry,87,46,52.9
Foster,76,40,52.6
McIntosh,75,40,53.3
Divide,63,33,52.4
Adams,61,32,52.5
Grant,56,30,53.6
LaMoure,57,30,52.6
Towner,55,29,52.7
Dunn,53,28,52.8
Sargent,53,28,52.8
Griggs,49,26,53.1
Hettinger,34,18,52.9
Renville,35,18,51.4
Golden Valley,28,15,53.6
Logan,28,15,53.6
Eddy,25,13,52.0
Kidder,22,11,50.0
Sheridan,17,9,52.9
Burke,10,5,50.0
Oliver,8,4,50.0
Billings,1,0,0.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,46658,25006,53.6
