BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Oklahoma,43075,21627,50.2
Tulsa,37597,18877,50.2
Cleveland,14222,7140,50.2
Canadian,6951,3490,50.2
Comanche,6467,3247,50.2
Rogers,5960,2992,50.2
Creek,5175,2598,50.2
Wagoner,4870,2445,50.2
Muskogee,4818,2419,50.2
Washington,4778,2398,50.2
Pottawatomie,4731,2375,50.2
Garfield,4470,2244,50.2
Payne,4437,2227,50.2
Delaware,4155,2086,50.2
Kay,3792,1903,50.2
Pittsburg,3783,1899,50.2
Stephens,3729,1872,50.2
Osage,3693,1854,50.2
Le Flore,3549,1781,50.2
Grady,3452,1733,50.2
Bryan,3433,1723,50.2
Carter,3431,1722,50.2
Cherokee,3210,1611,50.2
Okmulgee,3099,1555,50.2
Sequoyah,3058,1535,50.2
Mayes,3055,1533,50.2
Pontotoc,2812,1411,50.2
Logan,2718,1364,50.2
Lincoln,2588,1299,50.2
McCurtain,2520,1265,50.2
Ottawa,2467,1238,50.2
McClain,2388,1198,50.2
Garvin,2186,1097,50.2
McIntosh,2157,1083,50.2
Caddo,2082,1045,50.2
Seminole,1914,961,50.2
Custer,1772,889,50.2
Marshall,1642,824,50.2
Jackson,1579,792,50.2
Woodward,1418,711,50.1
Adair,1350,677,50.1
Beckham,1323,664,50.2
Choctaw,1295,650,50.2
Pawnee,1292,648,50.2
Craig,1279,642,50.2
Hughes,1136,570,50.2
Murray,1122,563,50.2
Atoka,1096,550,50.2
Pushmataha,1097,550,50.1
Kingfisher,1083,543,50.1
Latimer,1061,532,50.1
Haskell,1051,527,50.1
Washita,929,466,50.2
Noble,928,465,50.1
Johnston,911,457,50.2
Okfuskee,908,455,50.1
Nowata,905,454,50.2
Texas,902,452,50.1
Love,793,398,50.2
Blaine,782,392,50.1
Woods,768,385,50.1
Kiowa,754,378,50.1
Major,728,365,50.1
Tillman,663,332,50.1
Alfalfa,541,271,50.1
Jefferson,531,266,50.1
Greer,524,263,50.2
Coal,516,259,50.2
Cotton,487,244,50.1
Grant,459,230,50.1
Beaver,428,214,50.0
Dewey,425,213,50.1
Ellis,391,196,50.1
Harper,362,181,50.0
Roger Mills,322,161,50.0
Cimarron,241,121,50.2
Harmon,197,98,49.7



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 75+,252813,126895,50.2
