BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Minnehaha,49071,8988,18.3
Pennington,23950,4386,18.3
Lincoln,9530,1745,18.3
Brown,6780,1241,18.3
Brookings,5548,1016,18.3
Codington,5424,993,18.3
Hughes,4928,902,18.3
Lawrence,4199,769,18.3
Davison,4053,742,18.3
Yankton,3752,687,18.3
Meade,3019,552,18.3
Union,2973,544,18.3
Beadle,2452,449,18.3
Clay,2375,435,18.3
Lake,1488,272,18.3
Roberts,1280,234,18.3
Grant,1072,196,18.3
Butte,1047,191,18.2
Charles Mix,967,177,18.3
Custer,853,156,18.3
Oglala Lakota,804,147,18.3
Walworth,688,126,18.3
Bon Homme,683,125,18.3
Brule,675,123,18.2
Todd,659,120,18.2
Fall River,660,120,18.2
Spink,619,113,18.3
Hutchinson,610,111,18.2
Turner,591,108,18.3
Moody,575,105,18.3
Hamlin,561,102,18.2
Tripp,550,100,18.2
Stanley,522,95,18.2
Day,514,94,18.3
Lyman,511,93,18.2
Kingsbury,439,80,18.2
Gregory,439,80,18.2
Deuel,418,76,18.2
Marshall,411,75,18.2
Dewey,355,65,18.3
McCook,338,61,18.0
Hand,322,58,18.0
Clark,307,56,18.2
Edmunds,303,55,18.2
Corson,280,51,18.2
Perkins,249,45,18.1
Bennett,243,44,18.1
Jerauld,237,43,18.1
Jackson,232,42,18.1
Aurora,214,39,18.2
Douglas,200,36,18.0
Haakon,199,36,18.1
Faulk,189,34,18.0
Harding,182,33,18.1
Sully,182,33,18.1
Hanson,178,32,18.0
Miner,166,30,18.1
Sanborn,161,29,18.0
Potter,158,28,17.7
McPherson,142,26,18.3
Ziebach,133,24,18.0
Buffalo,117,21,17.9
Mellette,100,18,18.0
Jones,98,17,17.3
Campbell,91,16,17.6
Hyde,56,10,17.9



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,151122,27650,18.3
