BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Shelby,251050,28556,11.4
Davidson,164060,18661,11.4
Knox,114050,12972,11.4
Hamilton,104818,11922,11.4
Rutherford,92808,10556,11.4
Montgomery,59162,6729,11.4
Sumner,47799,5437,11.4
Williamson,45949,5226,11.4
Sullivan,44420,5052,11.4
Blount,38023,4325,11.4
Bradley,33295,3787,11.4
Wilson,33106,3765,11.4
Washington,32128,3654,11.4
Madison,31736,3609,11.4
Sevier,30123,3426,11.4
Maury,26200,2980,11.4
Greene,24019,2732,11.4
Robertson,21615,2458,11.4
Putnam,21144,2405,11.4
Hamblen,20798,2365,11.4
Anderson,20350,2314,11.4
Carter,19202,2184,11.4
Tipton,18989,2159,11.4
Jefferson,18042,2052,11.4
Cumberland,16402,1865,11.4
McMinn,16355,1860,11.4
Hawkins,15953,1814,11.4
Coffee,15830,1800,11.4
Roane,15680,1783,11.4
Gibson,15641,1779,11.4
Dickson,15639,1778,11.4
Monroe,15265,1736,11.4
Bedford,14651,1666,11.4
Loudon,14009,1593,11.4
Lawrence,13888,1579,11.4
Fayette,13580,1544,11.4
Warren,13058,1485,11.4
Campbell,12932,1470,11.4
Cocke,12242,1392,11.4
Cheatham,11340,1289,11.4
Dyer,11286,1283,11.4
Weakley,11216,1275,11.4
Franklin,11035,1255,11.4
Rhea,10938,1244,11.4
Marshall,10908,1240,11.4
Claiborne,10291,1170,11.4
Lauderdale,9963,1133,11.4
Obion,9616,1093,11.4
Hardeman,9527,1083,11.4
Lincoln,9524,1083,11.4
Henderson,9488,1079,11.4
Henry,9094,1034,11.4
Marion,9054,1029,11.4
Carroll,8908,1013,11.4
Hickman,8846,1006,11.4
Giles,8834,1004,11.4
White,8758,996,11.4
McNairy,8717,991,11.4
Hardin,8101,921,11.4
Macon,7640,869,11.4
Morgan,7504,853,11.4
Grainger,7487,851,11.4
Scott,7196,818,11.4
Overton,6791,772,11.4
DeKalb,6348,722,11.4
Union,6343,721,11.4
Smith,6275,713,11.4
Haywood,6237,709,11.4
Polk,5876,668,11.4
Fentress,5840,664,11.4
Johnson,5788,658,11.4
Humphreys,5645,642,11.4
Wayne,5568,633,11.4
Unicoi,5522,628,11.4
Bledsoe,5446,619,11.4
Chester,5291,601,11.4
Benton,5202,591,11.4
Crockett,4849,551,11.4
Cannon,4387,499,11.4
Grundy,4383,498,11.4
Sequatchie,4239,482,11.4
Lewis,3931,447,11.4
Stewart,3910,444,11.4
Jackson,3806,432,11.4
Meigs,3731,424,11.4
Trousdale,3673,417,11.4
Decatur,3527,401,11.4
Lake,3013,342,11.4
Perry,2644,300,11.3
Clay,2508,285,11.4
Houston,2310,262,11.3
Hancock,2169,246,11.3
Van Buren,1917,218,11.4
Moore,1903,216,11.4
Pickett,1542,175,11.3



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,1899896,216062,11.4
