BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Harris,987430,176088,17.8
Dallas,680061,121275,17.8
Bexar,386455,68916,17.8
Tarrant,382847,68273,17.8
Travis,328004,58492,17.8
Collin,181268,32325,17.8
El Paso,133687,23840,17.8
Denton,111555,19893,17.8
Hidalgo,93523,16677,17.8
Montgomery,82242,14666,17.8
Fort Bend,80906,14427,17.8
Williamson,75418,13449,17.8
Nueces,73861,13171,17.8
Midland,65981,11766,17.8
Lubbock,61923,11042,17.8
Webb,52660,9390,17.8
Galveston,52508,9363,17.8
Cameron,51025,9099,17.8
Jefferson,50978,9090,17.8
Brazoria,50383,8984,17.8
Bell,46116,8223,17.8
Brazos,44337,7906,17.8
McLennan,43079,7682,17.8
Ector,41161,7340,17.8
Smith,41022,7315,17.8
Gregg,33370,5950,17.8
Hays,33308,5939,17.8
Potter,29675,5291,17.8
Taylor,26108,4655,17.8
Comal,25804,4601,17.8
Ellis,21732,3875,17.8
Wichita,21620,3855,17.8
Tom Green,20596,3672,17.8
Johnson,19921,3552,17.8
Bowie,18761,3345,17.8
Grayson,17455,3112,17.8
Victoria,15900,2835,17.8
Randall,15827,2822,17.8
Parker,15603,2782,17.8
Rockwall,15171,2705,17.8
Guadalupe,14781,2635,17.8
Kaufman,14421,2571,17.8
Angelina,12115,2160,17.8
Hunt,9124,1627,17.8
San Patricio,8937,1593,17.8
Harrison,8872,1582,17.8
Orange,8854,1578,17.8
Nacogdoches,8644,1541,17.8
Liberty,8455,1507,17.8
Wise,8339,1487,17.8
Bastrop,8092,1443,17.8
Val Verde,7846,1399,17.8
Jim Wells,7672,1368,17.8
Hood,7555,1347,17.8
Henderson,7364,1313,17.8
Atascosa,7163,1277,17.8
Walker,7038,1255,17.8
Kendall,6803,1213,17.8
Kerr,6701,1194,17.8
Maverick,6690,1193,17.8
Lamar,6455,1151,17.8
Erath,6400,1141,17.8
Cooke,6395,1140,17.8
Chambers,6174,1101,17.8
Anderson,6089,1085,17.8
Burnet,6082,1084,17.8
Hardin,6009,1071,17.8
Coryell,5811,1036,17.8
Hale,5569,993,17.8
Calhoun,5524,985,17.8
Wharton,5406,964,17.8
Polk,5330,950,17.8
Brown,5258,937,17.8
Hockley,5256,937,17.8
Rusk,5247,935,17.8
Howard,5231,932,17.8
Gillespie,5091,907,17.8
Kleberg,5085,906,17.8
Medina,5010,893,17.8
Van Zandt,4945,881,17.8
Cherokee,4913,876,17.8
Washington,4879,870,17.8
Reeves,4881,870,17.8
Navarro,4884,870,17.8
Hopkins,4768,850,17.8
Waller,4730,843,17.8
Starr,4666,832,17.8
Wood,4187,746,17.8
Titus,4105,732,17.8
Hill,4078,727,17.8
Andrews,4037,719,17.8
Fayette,3994,712,17.8
Palo Pinto,3953,704,17.8
Caldwell,3872,690,17.8
Wilson,3821,681,17.8
Matagorda,3745,667,17.8
Uvalde,3706,660,17.8
Ward,3695,658,17.8
Jasper,3683,656,17.8
Austin,3618,645,17.8
DeWitt,3577,637,17.8
Aransas,3540,631,17.8
Hutchinson,3476,619,17.8
Karnes,3451,615,17.8
Frio,3396,605,17.8
Fannin,3375,601,17.8
Dimmit,3320,592,17.8
Upshur,3301,588,17.8
Scurry,3277,584,17.8
Gray,3226,575,17.8
Gaines,3222,574,17.8
