BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,13885,3568,25.7
Rutland,7630,1960,25.7
Windsor,7475,1920,25.7
Washington,6694,1720,25.7
Windham,5829,1497,25.7
Franklin,4710,1210,25.7
Bennington,4582,1177,25.7
Addison,4398,1130,25.7
Orange,3769,968,25.7
Caledonia,3761,966,25.7
Orleans,3622,930,25.7
Lamoille,2556,656,25.7
Grand Isle,988,253,25.6
Essex,930,238,25.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 65-74,70829,18193,25.7
