BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,24836,4255,17.1
Rutland,11618,1990,17.1
Franklin,10687,1831,17.1
Washington,9178,1572,17.1
Windsor,8760,1500,17.1
Bennington,6370,1091,17.1
Windham,6262,1072,17.1
Addison,5558,952,17.1
Orleans,5321,911,17.1
Caledonia,5256,900,17.1
Orange,5239,897,17.1
Lamoille,4517,773,17.1
Grand Isle,1503,257,17.1
Essex,1124,192,17.1



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,106229,18193,17.1
