BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Fairfax,117866,28480,24.2
Virginia Beach City,54020,13053,24.2
Prince William,45580,11013,24.2
Chesterfield,40624,9816,24.2
Henrico,39062,9438,24.2
Norfolk City,37946,9169,24.2
Richmond City,35964,8690,24.2
Loudoun,32789,7922,24.2
Chesapeake City,26350,6367,24.2
Newport News City,25363,6128,24.2
Arlington,23549,5690,24.2
Hampton City,21690,5241,24.2
Alexandria City,19670,4752,24.2
Stafford,16869,4076,24.2
Spotsylvania,16475,3980,24.2
Roanoke,15295,3695,24.2
Montgomery,14341,3465,24.2
Portsmouth City,14129,3414,24.2
Albemarle,12314,2975,24.2
Roanoke City,11881,2870,24.2
Lynchburg City,11306,2731,24.2
Suffolk City,11248,2717,24.2
Hanover,11101,2682,24.2
Augusta,9958,2406,24.2
Rockingham,9680,2339,24.2
Bedford,9676,2338,24.2
Frederick,9657,2333,24.2
Franklin,9280,2242,24.2
Pittsylvania,9141,2208,24.2
Harrisonburg City,9029,2181,24.2
Campbell,8586,2074,24.2
Washington,8136,1965,24.2
Henry,8014,1936,24.2
Fauquier,7747,1871,24.2
Charlottesville City,7655,1849,24.2
York,7504,1813,24.2
James City,7431,1795,24.2
Danville City,6872,1660,24.2
Tazewell,6505,1571,24.2
Culpeper,6369,1538,24.1
Petersburg City,6013,1452,24.1
Wise,5997,1449,24.2
Shenandoah,5606,1354,24.2
Prince George,5481,1324,24.2
Halifax,5355,1293,24.1
Warren,5075,1226,24.2
Gloucester,4912,1186,24.1
Smyth,4824,1165,24.2
Accomack,4745,1146,24.2
Louisa,4698,1135,24.2
Manassas City,4685,1132,24.2
Pulaski,4603,1112,24.2
Orange,4606,1112,24.1
Mecklenburg,4583,1107,24.2
Isle of Wight,4479,1082,24.2
Amherst,4445,1074,24.2
Carroll,4422,1068,24.2
Lee,4378,1057,24.1
Russell,4266,1030,24.1
Dinwiddie,4169,1007,24.2
Fredericksburg City,4143,1001,24.2
Caroline,4072,983,24.1
Wythe,4035,974,24.1
Botetourt,3875,936,24.2
Winchester City,3762,909,24.2
Buchanan,3639,879,24.2
Prince Edward,3523,851,24.2
Radford City,3508,847,24.1
Page,3492,843,24.1
Scott,3455,834,24.1
Hopewell City,3434,829,24.1
Staunton City,3426,827,24.1
Powhatan,3407,823,24.2
King George,3249,785,24.2
Salem City,3146,760,24.2
Waynesboro City,3115,752,24.1
Fluvanna,3059,739,24.2
Rockbridge,3054,737,24.1
Brunswick,2796,675,24.1
Buckingham,2694,650,24.1
Patrick,2684,648,24.1
Greene,2587,625,24.2
Bristol City,2580,623,24.1
Dickenson,2545,614,24.1
Nottoway,2537,613,24.2
Grayson,2524,609,24.1
Southampton,2508,606,24.2
Goochland,2510,606,24.1
Westmoreland,2487,600,24.1
New Kent,2473,597,24.1
Colonial Heights City,2338,564,24.1
King William,2254,544,24.1
Floyd,2210,534,24.2
Giles,2185,527,24.1
Williamsburg City,2169,524,24.2
Greensville,2163,522,24.1
Alleghany,2150,519,24.1
Appomattox,2151,519,24.1
Manassas Park City,2082,503,24.2
Lunenburg,2034,491,24.1
Martinsville City,1980,478,24.1
Nelson,1967,475,24.1
Sussex,1849,446,24.1
Charlotte,1816,438,24.1
Amelia,1765,426,24.1
Clarke,1767,426,24.1
Northampton,1748,422,24.1
Fairfax City,1726,417,24.2
Madison,1708,412,24.1
Northumberland,1580,381,24.1
Cumberland,1541,372,24.1
Essex,1526,368,24.1
Richmond,1491,360,24.1
Falls Church City,1437,347,24.1
Poquoson City,1377,332,24.1
Middlesex,1365,329,24.1
Lancaster,1304,315,24.2
Lexington City,1140,275,24.1
Mathews,1102,266,24.1
Buena Vista City,1084,261,24.1
King and Queen,1053,254,24.1
Charles City,1027,248,24.1
Galax City,981,237,24.2
Franklin City,984,237,24.1
Emporia City,957,231,24.1
Surry,933,225,24.1
Bland,821,198,24.1
Rappahannock,817,197,24.1
Covington City,815,196,24.0
Craig,634,153,24.1
Norton City,613,148,24.1
Bath,615,148,24.1
Highland,296,71,24.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,1051888,254105,24.2
