BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
King,6148,6148,100.0
Pierce,2774,2774,100.0
Spokane,2591,2591,100.0
Snohomish,1903,1903,100.0
Clark,1470,1470,100.0
Kitsap,1447,1447,100.0
Yakima,1274,1274,100.0
Thurston,1090,1090,100.0
Whatcom,1003,1003,100.0
Benton,978,978,100.0
Chelan,660,660,100.0
Skagit,659,659,100.0
Cowlitz,553,553,100.0
Grant,456,456,100.0
Lewis,435,435,100.0
Walla Walla,431,431,100.0
Grays Harbor,405,405,100.0
Whitman,346,346,100.0
Clallam,309,309,100.0
Mason,283,283,100.0
Island,264,264,100.0
Okanogan,183,183,100.0
Kittitas,175,175,100.0
Stevens,162,162,100.0
Jefferson,133,133,100.0
Douglas,116,116,100.0
Adams,103,103,100.0
Asotin,100,100,100.0
Franklin,95,95,100.0
Pacific,75,75,100.0
Pend Oreille,45,45,100.0
Skamania,36,36,100.0
Lincoln,28,28,100.0
Columbia,19,19,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Long-term care facillity residents,26749,26749,100.0
