BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Milwaukee,133233,32835,24.6
Dane,52729,12994,24.6
Waukesha,39196,9659,24.6
Brown,30814,7594,24.6
Racine,23242,5727,24.6
Kenosha,22670,5586,24.6
Outagamie,21938,5406,24.6
Rock,21713,5351,24.6
Winnebago,20857,5140,24.6
Marathon,16158,3982,24.6
Washington,15226,3752,24.6
La Crosse,14530,3580,24.6
Sheboygan,13837,3410,24.6
Eau Claire,13518,3331,24.6
Fond du Lac,13249,3265,24.6
Walworth,12542,3090,24.6
Dodge,10738,2646,24.6
Jefferson,10309,2540,24.6
Manitowoc,9705,2391,24.6
St. Croix,9640,2375,24.6
Wood,9394,2315,24.6
Ozaukee,9364,2307,24.6
Portage,9313,2295,24.6
Sauk,9112,2245,24.6
Chippewa,7677,1891,24.6
Columbia,6926,1706,24.6
Grant,6728,1658,24.6
Douglas,6378,1571,24.6
Waupaca,6300,1552,24.6
Barron,6185,1524,24.6
Dunn,5867,1445,24.6
Monroe,5645,1391,24.6
Polk,5632,1387,24.6
Shawano,5597,1379,24.6
Calumet,5504,1356,24.6
Marinette,5383,1326,24.6
Pierce,5128,1263,24.6
Oconto,4947,1219,24.6
Clark,4543,1119,24.6
Oneida,4493,1107,24.6
Green,4427,1091,24.6
Vernon,3973,979,24.6
Lincoln,3721,917,24.6
Juneau,3682,907,24.6
Trempealeau,3430,845,24.6
Waushara,3232,796,24.6
Vilas,3144,774,24.6
Door,3073,757,24.6
Jackson,2955,728,24.6
Iowa,2817,694,24.6
Adams,2794,688,24.6
Taylor,2713,668,24.6
Sawyer,2686,661,24.6
Langlade,2538,625,24.6
Green Lake,2405,592,24.6
Ashland,2365,582,24.6
Kewaunee,2316,570,24.6
Richland,2244,553,24.6
Crawford,2120,522,24.6
Lafayette,2093,515,24.6
Washburn,2078,512,24.6
Burnett,2052,505,24.6
Bayfield,2027,499,24.6
Rusk,1951,480,24.6
Marquette,1895,467,24.6
Buffalo,1717,423,24.6
Price,1717,423,24.6
Forest,1394,343,24.6
Menominee,1072,264,24.6
Pepin,940,231,24.6
Iron,794,195,24.6
Florence,591,145,24.5



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,712916,175661,24.6
