BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Laramie,729,729,100.0
Natrona,561,561,100.0
Sweetwater,302,302,100.0
Campbell,277,277,100.0
Fremont,256,256,100.0
Park,231,231,100.0
Albany,217,217,100.0
Sheridan,193,193,100.0
Teton,173,173,100.0
Uinta,141,141,100.0
Lincoln,137,137,100.0
Carbon,112,112,100.0
Converse,103,103,100.0
Goshen,80,80,100.0
Big Horn,66,66,100.0
Johnson,59,59,100.0
Platte,57,57,100.0
Washakie,51,51,100.0
Weston,50,50,100.0
Sublette,48,48,100.0
Crook,43,43,100.0
Hot Springs,39,39,100.0
Niobrara,12,12,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged under 65 w cancer,3937,3937,100.0
